filename,transunet_dice,medsegdiff_dice,wmh_dice,transunet_iou,medsegdiff_iou,wmh_iou,transunet_sensitivity,medsegdiff_sensitivity,wmh_sensitivity,transunet_specificity,medsegdiff_specificity,wmh_specificity,transunet_precision,medsegdiff_precision,wmh_precision,transunet_accuracy,medsegdiff_accuracy,wmh_accuracy
DRIVE_01.png,0.7725513350390343,0.8140702124119572,0.8631452581032413,0.6293960448957776,0.6864404798091986,0.7592397043294614,1.0,0.9971807065217392,0.8303668478260869,0.9423166511380274,0.9556535338746174,0.9908225742047119,0.6293960448957776,0.6877752787929904,0.89861785031613,0.94746332888835,0.9593587101466845,0.9765062431809917
DRIVE_02.png,0.817397825271841,0.8610964647179105,0.8811475409836066,0.6911857958148383,0.7560749774164408,0.7875457875457875,1.0,0.9907960935187925,0.8017164841669133,0.9490258972887193,0.9645811527163454,0.9979471249620151,0.6911857958148383,0.7614228206236212,0.9780489566033649,0.9542459692083889,0.9672657291792944,0.9778518608316159
DRIVE_03.png,0.7809101715560383,0.8269114835420363,0.886805156416783,0.640568195497773,0.704901183449329,0.7966306720953561,0.8088651080777065,0.7297601313349344,0.8208737421335847,0.9709089195366701,0.9960951569847879,0.9966303897773903,0.754822968679074,0.9539024002543316,0.9642525533890436,0.9547551218329494,0.9695447933082798,0.9791095890410959
DRIVE_04.png,0.8041859848986621,0.844131986151346,0.9322052837417192,0.6725008862105636,0.7303013631640076,0.8730191951204928,1.0,0.7871779666600778,0.9619490017790077,0.9506618692549549,0.9921096373236851,0.9896797794436694,0.6725008862105636,0.9099702947673091,0.9042457650738596,0.9552006303794399,0.9732573645290338,0.9871287428779246
DRIVE_05.png,0.8002174503941288,0.8665330774441183,0.8273984419225274,0.6669687358405075,0.7644978959687259,0.7056091954022988,1.0,0.9932388716356108,0.9929477225672878,0.9483862122468634,0.9690718546855355,0.9579064230491426,0.6669687358405075,0.7684971966359632,0.7091631625155954,0.9532216026184992,0.9713359195053946,0.961189235058795
DRIVE_06.png,0.953518304306033,0.7930327614267434,0.8563814829197745,0.9111657740689999,0.6570458054554812,0.7488349218987845,0.9111657740689999,0.9937725744177357,0.995640802092415,1.0,0.9447395280750998,0.9644612616000322,1.0,0.6597622739018087,0.7512981367918987,0.9913534973936234,0.9495120620681294,0.9674960601285004
DRIVE_07.png,0.7882003054416847,0.9530284705651619,0.8211834486654427,0.6504377819050146,0.9102716203559164,0.696616829595553,0.6504377819050146,0.9669673653488989,0.964247811090475,1.0,0.9937359910342619,0.9613619383071833,1.0,0.9394857253335052,0.7150868217816911,0.9680567341495939,0.9912898533155534,0.9616256515941326
DRIVE_08.png,0.8126082537683047,0.8389293539409013,0.8652178634029813,0.6843640747438215,0.7225480695669914,0.7624528405052217,0.9998238754447145,0.9980626298918596,0.9823875444714502,0.9566072334541451,0.9641046387086292,0.9728455322295578,0.6844465878948638,0.7235629101866748,0.7730195687122347,0.9603254939992726,0.9670263062189356,0.9736665050309128
DRIVE_09.png,0.7879982776984613,0.8669048417977617,0.8773273471543642,0.6501626715530459,0.7650768212381981,0.7814631851329099,0.6501626715530459,0.8212108746868105,0.9938296997120527,1.0,0.993529429224422,0.9760338237379583,1.0,0.9179834462001505,0.7852731731820465,0.9716480785549764,0.9795641895987393,0.9774760577039641
DRIVE_10.png,0.8182666308249396,0.808690440515433,0.8940006629101757,0.692429148714106,0.6788247723499522,0.8083193478782067,0.9527912800117838,0.9937398733244955,0.9932243334806304,0.9662785167963435,0.9583955297816409,0.9794850794573388,0.7170292365248718,0.6817400970088925,0.812801350048216,0.9651685052733665,0.9613044005333979,0.9806158322220875
DRIVE_11.png,0.8229509110157687,0.8627014682847565,0.9023615867579908,0.699164477265734,0.7585532243531986,0.8220936657024928,1.0,0.9975286908832391,0.8563255357324215,0.9576927045712517,0.9690234703965435,0.9959057456036695,0.699164477265734,0.7599814298978644,0.9536286522148916,0.9614801794156868,0.9715753424657534,0.983410110316402
DRIVE_12.png,0.7970234015470479,0.8243608760143094,0.8515189510098645,0.6625427315643823,0.7012023155707288,0.7414305632283692,1.0,0.9948753948753949,0.9892593892593893,0.9518658572992338,0.9604206056987429,0.968411450558928,0.6625427315643823,0.7037441652597081,0.747447423555308,0.9560219420535823,0.9633955630985575,0.9702115407928233
DRIVE_13.png,0.8275888608114522,0.8532643826761473,0.9021076815502946,0.7058862144420132,0.7440811724915445,0.8216722773178055,1.0,0.7774574537338417,0.8398586440993211,0.9548506723188703,0.9951394184097467,0.9976016204178018,0.7058862144420132,0.9454518038225205,0.9743230121911749,0.9592647593647715,0.9738574372651231,0.9821796581403807
DRIVE_14.png,0.8137945761264147,0.8412429289007907,0.8863418972663657,0.686048604860486,0.725987309922328,0.7958833102284371,1.0,0.9950519173820145,0.9899538928665143,0.9597471668375741,0.9674000850690609,0.9785513859992152,0.686048604860486,0.7286176987263944,0.8023637357963177,0.9630015759485998,0.9696357134198085,0.9794732694872106
DRIVE_15.png,0.7961161775365373,0.7848611550698805,0.8310266911453185,0.6612898709008933,0.6459024483864777,0.7109030504379341,1.0,0.9976285254510037,0.9967815702549335,0.9605184986910226,0.9580245865785746,0.9690023698693634,0.6612898709008933,0.646895680588736,0.712538596597445,0.9633440417020245,0.9608588919869075,0.9709904230815857
DRIVE_16.png,0.733587786259542,0.8192884283246977,0.8653379614078304,0.5792646172393008,0.6938937908114308,0.7626393868622743,1.0,0.9951998925850088,0.778255177738243,0.9279139418127788,0.9569042772571451,0.9979678114662074,0.5792646172393008,0.6962239338718768,0.9743643622609792,0.9344223542247545,0.9603618620438841,0.9781306825069706
DRIVE_17.png,0.821689874911494,0.8233615693267945,0.9031974758481606,0.6973460190285428,0.6997575022734162,0.8234823096770367,1.0,0.9946143903489875,0.9969481545310929,0.9599878189256822,0.9611529651647756,0.9805797926569306,0.6973460190285428,0.7024189867640347,0.8255634179699114,0.9633652563947145,0.9639774518123408,0.9819614498727118
DRIVE_18.png,0.828232908825952,0.8592480261097466,0.8635392800279601,0.7068238347572185,0.7532294887726497,0.7598496497522638,1.0,0.9969400244798041,0.8505584455324358,0.9643073439186877,0.972157490059773,0.9897273349659004,0.7068238347572185,0.7549749442400718,0.8769224702263585,0.9671354103527701,0.9741211055885561,0.9787004485392169
DRIVE_19.png,0.7863648116758123,0.827236916150816,0.8797173236096097,0.6479416708093648,0.7053742802303263,0.7852637036610306,1.0,0.9935698366884659,0.9960176829491068,0.9508508240550714,0.963042278470136,0.9757228451794349,0.6479416708093648,0.7086090989629475,0.7877369394359686,0.9549278700448539,0.9655746151048612,0.9774063522851255
DRIVE_20.png,0.8010101343544713,0.8407709671818024,0.8873348017621145,0.6680708130282756,0.725284601557819,0.7974858952786301,1.0,0.9977333608077478,0.9961261075623326,0.9605619980699717,0.9701826984412568,0.980228659284581,0.6680708130282756,0.7264816204051012,0.7999669038557008,0.9634622378470118,0.9722087525760699,0.9813977451812341
AVERAGE,0.8082106991131809,0.8404832905276557,0.8738648068303064,0.680177898157033,0.7264624561572081,0.7770217745825172,0.9486623245530634,0.9506253287288231,0.9313634294922848,0.9616241063107932,0.9702732163977389,0.9810436471385515,0.7265364554878355,0.7688750903122251,0.8373331426259067,0.9603932294823616,0.9682513031882651,0.9763263728936842
